Source,Study,Location,species,taxonomic_grouping,independent_variable_group,independent_variable,response_variable_group,response_variable,finding,significance,notes,process_notes
Hernandez et al. 2019,"Rey-Sanchez et al. 2016, Fauset et al. 2018","Panama, Brazil",,individual,exposure,sun/shade,leaf_temperature,lower maximum temperature,shade leaves experience lower maximum temp and smaller temp ranges than sun leaves ,significant,,
Hernandez et al. 2019,Griffin et al.2002,,Populus deltoides,individual,exposure,sun/shade,leaf_temperature,temperature sensitivity of dark respiration,higher in shaded canopy than upper canopy,significant,,
Hernandez et al. 2019,Niinemets et al. 1999,(find out),two temperate trees,individual,exposure,sun/shade,leaf_temperature,temperature sensitivity of electron transfer,higher in shaded canopy than upper canopy,significant,temperature sensitivity of electron transfer is higher in shade because of lower activation of Jmax,
Hernandez et al. 2019,Hernandez et al. 2019,Panama,3 tropical tree species,individual,exposure,sun/shade,leaf_trait,leaf N per unit area,lower in shade,significant,,
Hernandez et al. 2019,Hernandez et al. 2019,Panama,3 tropical tree species,individual,exposure,sun/shade,leaf_trait,leaf mass per area,,,,
Hernandez et al. 2019,Hernandez et al. 2019,Panama,3 tropical tree species,individual,exposure,sun/shade,leaf_metabolism,VCMax,didnot differ between sun and shade,not_signficant,,
Hernandez et al. 2019,Hernandez et al. 2019,Panama,3 tropical tree species,individual,exposure,sun/shade,leaf_metabolism,Ha of Jmax,didnot differ between sun and shade,not_signficant,,
Hernandez et al. 2019,Hernandez et al. 2019,Panama,3 tropical tree species,individual,exposure,sun/shade,leaf_metabolism,Topt of net photosynthesis ,didnot differ between sun and shade,not_signficant,,
Hernandez et al. 2019,Hernandez et al. 2019,Panama,3 tropical tree species,individual,exposure,sun/shade,leaf_metabolism,Topt of net stomatal conductance,didnot differ between sun and shade,not_signficant,,
Hernandez et al. 2019,Hernandez et al. 2019,Panama,3 tropical tree species,individual,exposure,sun/shade,leaf_metabolism,relationship between net photosynthesis and Jmax,positive relationship in sun leaves,significant,,
Hernandez et al. 2019,Hernandez et al. 2019,Panama,3 tropical tree species,individual,exposure,sun/shade,leaf_metabolism,stomatal limitation with increasing temperature,stomatal limitation increased with temperature in shade leaves,significant,significant for two species,
Hernandez et al. 2019,Hernandez et al. 2019,Panama,3 tropical tree species,individual,exposure,sun/shade,leaf_metabolism,lower optimum temperature acclimation,didnot differ between sun and shade,not_signficant,"shade leaves didnot have lower temperature sensitivity either, as their activation energies of Vcmax and Jmax",
Hernandez et al. 2019,Doughty &Goulden 2008; Mau et al. 2015,Panama,3 tropical tree species,individual,exposure,sun/shade,biophysical_environment,relationship between increasing temp and C uptake ,negetive impact on the C uptake of sun leaves than of that of shade leaves,unclear,"increase in temp associated increases in VPD may have a stronger, negetive impact on the C uptake of sun leavea than of that of shade leaves >resulting in steep decline of gs in sun leaves",
Mastubara et al. 2009,Mastubara et al. 2009,Panama,86 species ,species,exposure,sun/shade,leaf_trait,LMA (leaf dry mass per area),greater in sun leaves,significant,,
Mastubara et al. 2009,Mastubara et al. 2009,Panama,86 species ,species,exposure,sun/shade,leaf_trait,Lutein and neoxanthin (caratenoids),greater in shade,significant,,
Mastubara et al. 2009,Mastubara et al. 2009,Panama,27 species,species,exposure,sun/shade,leaf_trait,chlorophylla/b ratio,greater in sun,significant,,
Mastubara et al. 2009,Mastubara et al. 2009,Panama,25 species,species,exposure,sun/shade,leaf_trait,a-/b-carotene,greater in shade,significant,,
Mastubara et al. 2009,Mastubara et al. 2009,Panama,29 species,species,exposure,sun/shade,leaf_trait,violaxanthin-cycle pool,greater in sun leaves,significant,v-cycle provides photoprotection under strong light (Demming-Adams and Adams 1992; Demming-Adams1998),
Martin et. al 2020,"Bjorkman 1981; Anderson et al. 1988; Hikosaka and Terashima, 1996",global,N/A,individual,exposure,sun/shade,leaf_trait,LMA (leaf mass per area),greater in sun leaves (increased with elevation),significant,,
Martin et. al 2020,"Bjorkman 1981; Anderson et al. 1988; Hikosaka and Terashima, 1997",,,individual,exposure,sun/shade,leaf_trait,Nitrogen concentration,lower in sun leaves,significant,,
Martin et. al 2020,"Bjorkman 1981; Anderson et al. 1988; Hikosaka and Terashima, 1998",,,individual,exposure,sun/shade,leaf_trait,palisade parenchyma cells,thicker in sun leaves,significant,,
Martin et. al 2020,"Bjorkman 1981; Anderson et al. 1988; Hikosaka and Terashima, 1999",,,individual,exposure,sun/shade,leaf_trait,mesophyll cells,more in sun,significant,,
Martin et. al 2020,"Evans et al., 1988; Evans and Poorter, 2001; Niinemets and Valladares, 2004; and others",,,individual,exposure,sun/shade,leaf_metabolism,photosynthetic rates on an area basis,higher in sun,significant,,
Martin et. al 2020,"Boardman, 1977; Hikosaka and Terashima, 1996; Poorter et al., 2009",,,individual,exposure,sun/shade,leaf_trait,proportion of N is allocated to chlorophyll,greater in shade,significant,"larger proportion of N is allocated to chlorophyll to enhance light capture, compensating for lower irradiance to achieve photosynthetic capacity similar to that of sun leaves",
Martin et. al 2020,Martin et. al 2020,Peru,385 canopies humid tropical forest,individual,exposure,sun/shade,leaf_trait,chlorophylla/b ,greater in shade (didnot vary with elevation),significant,,
Martin et. al 2020,Martin et. al 2020,Peru,385 canopies humid tropical forest,individual,exposure,sun/shade,leaf_trait,caretenoid concentration,greater in shade (didnot vary with elevation),significant,,
Martin et. al 2020,Martin et. al 2020,Peru,385 canopies humid tropical forest,individual,exposure,sun/shade,leaf_trait,relationship between LMA and elevation,"LMA increased in sun with increase in elevation,",significant,LMA increases with increase in elevation between sun and shade,
Martin et. al 2020,Martin et. al 2020,Peru,385 canopies humid tropical forest,individual,exposure,sun/shade,leaf_trait,"Foliar carbon components NSC (lignin, cellulose, and total C) and",similar in sun and shade,not_signficant,,
Martin et. al 2020,Martin et. al 2020,Peru,386 canopies humid tropical forest,individual,exposure,sun/shade,leaf_trait,"area-basis: total soluble C, lignin and P",higher in sun leaves,sometimes_signficant,,
Martin et. al 2020,Martin et. al 2020,Peru,387 canopies humid tropical forest,individual,exposure,sun/shade,leaf_metabolism,d13C (Carbon Isotope composition),higher in sun leaves,significant,,
Martin et. al 2020,Martin et. al 2020,Peru,388 canopies humid tropical forest,individual,exposure,sun/shade,leaf_metabolism,d13C in relation to elevation ,"d13C increased with elevation in sun and in shade, d13C is however greater in sun than shade",significant,,
Mau et al. 2018,"Dai, Y et al. 2004","Michigan, Puerto Rico","Temperate, Tropical wet, Tropical moist",individual,height,upper canopy/lower canopy,biophysical_environment,solar radiance intesity,light availablity increases with canopy height,,,
Mau et al. 2018,"Koch, G.W.; Amthor et al. 1994","Michigan, Puerto Rico","Temperate, Tropical wet, Tropical moist",individual,height,upper canopy/lower canopy,leaf_temperature,leaf temperature sensitivity,"leaf temperature increases with canopy height, and in upper canopy",,"leaf temperatures can be 1-7C above ambient air temperature , especially in upeer cnaopy",temperature sensitivity to what?
Mau et al. 2018,"Catovsky, S et al. 2002","Michigan, Puerto Rico","Temperate, Tropical wet, Tropical moist",individual,exposure,upper canopy/lower canopy,leaf_trait,photosynthetic capacity,upper canopy leaves have greater photosynthetic capacity,,,
Mau et al. 2018,"Catovsky, S et al. 2002","Michigan, Puerto Rico","Temperate, Tropical wet, Tropical moist",individual,exposure,upper canopy/lower canopy,biophysical_environment,heat stress,upper canopy leaves are more susceptible to heat stress ,,due to elevated temperatues and VPD,
Mau et al. 2018,"Weerasinghe, L.K et al. 2014; Coble, A et al. 2014; Xiang, S et al. 2014 and Mau et al. 2018","Michigan, Puerto Rico","Temperate, Tropical wet, Tropical moist",individual,height,upper canopy/lower canopy,leaf_trait,LMA,LMA increases with canopy height regardless of forest type,significant,due to hydrostatic gradient or light,
Mau et al. 2018,"Mau et al. 2018; Cavaleri, M.A. et al. 2010","Michigan, Puerto Rico","Temperate, Tropical wet, Tropical moist",individual,height ,upper canopy/lower canopy,leaf_metabolism,Aopt(max photosynthetic capacity),Aopt increased with height ,significant,"height as a predictor of Aopt was not significant, no Aopt and height relationship in tropical wet forests",
Mau et al. 2018,Mau et al. 2018,"Michigan, Puerto Rico","Temperate, Tropical wet",individual,exposure,overstory/understory,leaf_temperature,Tleafmax(mean max daily leaf temperature),Tleaf greater in upperstory than understory by 8-10C,significant,"In all forest types, Tleafmax was found to exceed the temperature optima for photosynthesis, indicating that the leaves of upper canopy of these forests are already showing declines as a result of high temperature",
Mau et al. 2018,Mau et al. 2018,"Michigan, Puerto Rico","Temperate, Tropical wet",individual,height,overstory/understory,biophysical_environment,Tairmax (mean max daily air temperature),Tairmax increased with height in tropical wet,sometimes_signficant,,
Mau et al. 2018,Mau et al. 2018,"Michigan, Puerto Rico","Temperate, Tropical wet",individual,exposure,upper canopy/lower canopy,leaf_temperature,relationship between Tleafmax and Topt, Topt exceeded Tleaf in the upper canopy of all forests,significant,but the heights and temperatures where this occured differed for each forest caopy,
Mau et al. 2018,"Mau et al. 2018; Koch, G.W et al. 1994",Michigan,Temperate forest,individual,height ,upper canopy/lower canopy,leaf_temperature,Difference between Tleaf and Tair ,the difference increases with height ,significant,,
Coble et al. 2017,Evans 1989; Hikosaka and Terashima 1995,U.S,general,individual,exposure,sun/shade,leaf_trait,LMA (leaf mass per area),"greater in sun leaves, increases with height ",significant,"Reason:Limited osmotic adjustments, leaf turgor at greater heights may restrict leaf expansion, resulting in leaves with high LMA (Woodruff et al. 2004, Meinzer et al. 2008)",
Coble et al. 2017,Evans 1989; Hikosaka and Terashima 1995,U.S,general,individual,exposure,sun/shade,leaf_trait,photosynthetic capacity,greater in sun leaves ,significant,,
Coble et al. 2017,Evans 1989; Hikosaka and Terashima 1995,U.S,general,individual,exposure,sun/shade,leaf_trait,N area partitioning,greater in sun leaves ,significant,,
Coble et al. 2017,Koch et al. 2004; Ishii et al. 2008,,S. sempervirens,individual,height ,upper canopy/lower canopy,leaf_metabolism,frequency of stomatal closure,more in upper canopy leaves,significant*,due to increase in water stress with height ,
Coble et al. 2017,Eschrich et al. 1989,,Fagus sylvatica,individual,exposure,sun/shade,leaf_trait,palisade cell layers in leaf primordia,2-layers of palisade cells for sun and 1-layer for shade,significant,,
